avg_perplexity is:	3.2879167993992175
the project gutenberg ebook pride and prejudice by jane austen edited by r w	pp=2.754727023584982
robert william chapman   this ebook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever	pp=1.7915187897554539
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at <URL>      title pride and prejudice   author jane austen  editor r w	pp=2.3859316810189304
robert william chapman  release date may <NUM> <NUM>  ebook <HASHTAG>  language english   start of the project gutenberg ebook pride and prejudice   etext prepared by greg weeks jon hurst mary meehan and the online distributed proofreading team <URL> from page images generously made available by internet archive <URL>    note project gutenberg also has an html version of this file which includes the original illustrations	pp=3.643315295866086
see <NUM>hhtm or <NUM>hzip <URL> or <URL>   images of the original pages are available through internet archive	pp=3.0661407937862863
see <URL>   transcribers note  text enclosed by underscores is in italics _italics_	pp=2.7889911755218537
a carat character is used to denote superscription	pp=2.3197190365036993
multiple superscripted characters are enclosed by curly brackets example mrs	pp=2.618616518444988
pride and prejudice  a novel	pp=1.480711660917979
in three volumes	pp=1.2113959858912027
egerton military library whitehall <NUM>	pp=1.121924659777356
illustration morning dress	pp=1.5872278919271228
_invented by mrs bell <NUM> charlotte street bedford square_  _engraved for no	pp=2.8073480736416987
<NUM> of la belle assemblee <NUM>st july <NUM>_     pride  prejudice chapter i	pp=2.578148214586106
it is a truth universally acknowledged that a single man in possession of a good fortune must be in want of a wife	pp=4.060293132610215
however little known the feelings or views of such a man may be on his first entering a neighbourhood this truth is so well fixed in the minds of the surrounding families that he is considered as the rightful property of some one or other of their daughters	pp=4.172062178846393
bennet said his lady to him one day have you heard that netherfield park is let at last mr	pp=3.351205668232167
bennet replied that he had not	pp=2.536252309503624
long has just been here and she told me all about it mr	pp=2.851216475725111
bennet made no answer	pp=1.124592230141505
do not you want to know who has taken it	pp=3.306467504558344
cried his wife impatiently	pp=1.681388247798568
_you_ want to tell me and i have no objection to hearing it	pp=3.5894996286369927
why my dear you must know mrs	pp=3.210815428935202
long says that netherfield is taken by a young man of large fortune from the north of england that he came down on monday in a chaise and four to see the place and was so much delighted with it that he agreed with mr	pp=3.7802885885786575
morris immediately that he is to take possession before michaelmas and some of his servants are to be in the house by the end of next week	pp=4.583434812887231
what is his name bingley	pp=1.7379755073855165
is he married or single	pp=1.7320523746566043
oh single my dear to be sure a single man of large fortune four or five thousand a year	pp=3.6624701356794405
what a fine thing for our girls  how so	pp=2.4896290270014068
how can it affect them	pp=1.732485548775816
my dear mr	pp=2.9555888401573216
bennet replied his wife how can you be so tiresome you must know that i am thinking of his marrying one of them	pp=4.0464599056668495
is that his design in settling here	pp=2.1776881639586962
design nonsense how can you talk so but it is very likely that he _may_ fall in love with one of them and therefore you must visit him as soon as he comes	pp=5.234085726562978
i see no occasion for that	pp=1.907623665784279
you and the girls may go or you may send them by themselves which perhaps will be still better for as you are as handsome as any of them mr	pp=4.064233162863873
bingley might like you the best of the party	pp=2.5345146673253707
my dear you flatter me	pp=2.2871715743299723
i certainly _have_ had my share of beauty but i do not pretend to be any thing extraordinary now	pp=3.6182149913471955
when a woman has five grown up daughters she ought to give over thinking of her own beauty	pp=3.739271153596131
in such cases a woman has not often much beauty to think of	pp=3.091821879761195
it is more than i engage for i assure you	pp=3.2819449997521377
but consider your daughters	pp=1.413258432067572
sir william and lady lucas are determined to go merely on that account for in general you know they visit no new comers	pp=3.5531227205628406
indeed you must go for it will be impossible for _us_ to visit him if you do not	pp=3.170112765870592
i dare say mr	pp=2.8466071481868824
bingley will be very glad to see you and i will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls though i must throw in a good word for my little lizzy	pp=4.23697589557578
i desire you will do no such thing	pp=2.7977550188979285
lizzy is not a bit better than the others and i am sure she is not half so handsome as jane nor half so good humoured as lydia	pp=4.217621699455106
but you are always giving _her_ the preference	pp=2.7637108975702858
they have none of them much to recommend them replied he they are all silly and ignorant like other girls but lizzy has something more of quickness than her sisters mr	pp=3.791615104364415
bennet how can you abuse your own children in such a way	pp=3.69161291194486
you take delight in vexing me	pp=1.9606660261811792
i have a high respect for your nerves	pp=2.798571309790984
they are my old friends	pp=1.7396006669703727
ah you do not know what i suffer	pp=3.519362352163443
but i hope you will get over it and live to see many young men of four thousand a year come into the neighbourhood	pp=3.696403033171869
depend upon it my dear that when there are twenty i will visit them all mr	pp=3.8467763350297868
_her_ mind was less difficult to develope	pp=2.152458307600138
she was a woman of mean understanding little information and uncertain temper	pp=3.2344605566749287
when she was discontented she fancied herself nervous	pp=2.8770326172187737
the business of her life was to get her daughters married its solace was visiting and news chapter ii mr	pp=3.072573005711182
bennet was among the earliest of those who waited on mr bingley	pp=2.9906376628596494
it was then disclosed in the following manner	pp=2.5145677207102364
bingley will like it lizzy	pp=1.7175623381346197
but you forget mama said elizabeth that we shall meet him at the assemblies and that mrs	pp=3.2852389380540474
long has promised to introduce him	pp=1.9321290974274357
i do not believe mrs	pp=2.888941271103076
long will do any such thing	pp=1.9872589142291628
she has two nieces of her own	pp=2.129928082743858
she is a selfish hypocritical woman and i have no opinion of her	pp=4.189244913588825
no more have i said mr	pp=1.9621901444741465
bennet and i am glad to find that you do not depend on her serving you mrs	pp=5.204598730197868
bennet deigned not to make any reply but unable to contain herself began scolding one of her daughters	pp=3.522389651371689
you tear them to pieces	pp=1.6859567229460533
kitty has no discretion in her coughs said her father she times them ill	pp=3.158372606139044
i do not cough for my own amusement replied kitty fretfully	pp=3.8504524525395376
aye so it is cried her mother and mrs	pp=3.2597875107740344
long does not come back till the day before so it will be impossible for her to introduce him for she will not know him herself	pp=4.2334485948147575
then my dear you may have the advantage of your friend and introduce mr	pp=3.7842565588813475
bingley to _her_ impossible mr	pp=1.7264830640695599
bennet impossible when i am not acquainted with him myself how can you be so teazing	pp=4.2373513007326915
i honour your circumspection	pp=1.4141322943272667
a fortnights acquaintance is certainly very little	pp=2.188307791105729
one cannot know what a man really is by the end of a fortnight	pp=2.742134863665079
but if _we_ do not venture somebody else will and after all mrs	pp=2.9970392013045597
long and her nieces must stand their chance and therefore as she will think it an act of kindness if you decline the office i will take it on myself	pp=3.5237634851441837
the girls stared at their father mrs	pp=2.1826129969608266
bennet said only nonsense nonsense  what can be the meaning of that emphatic exclamation cried he	pp=3.1925585914540164
do you consider the forms of introduction and the stress that is laid on them as nonsense	pp=2.9768800569202494
for you are a young lady of deep reflection i know and read great books and make extracts	pp=3.7687170071869622
mary wished to say something very sensible but knew not how	pp=3.1186334853981665
while mary is adjusting her ideas he continued let us return to mr bingley	pp=2.8891113743076215
i am sick of mr	pp=1.6325811443498381
bingley cried his wife	pp=1.4138151709096514
i am sorry to hear _that_ but why did not you tell me so before	pp=3.481040161717962
if i had known as much this morning i certainly would not have called on him	pp=4.128996267823127
it is very unlucky but as i have actually paid the visit we cannot escape the acquaintance now	pp=3.939454050679736
bennet perhaps surpassing the rest though when the first tumult of joy was over she began to declare that it was what she had expected all the while	pp=4.7593093923637415
bennet but i knew i should persuade you at last	pp=2.767109195409564
i was sure you loved your girls too well to neglect such an acquaintance	pp=3.1119228618186163
well how pleased i am and it is such a good joke too that you should have gone this morning and never said a word about it till now	pp=4.087708693495435
now kitty you may cough as much as you chuse said mr	pp=2.8539595359510437
bennet and as he spoke he left the room fatigued with the raptures of his wife	pp=3.3585945297066138
what an excellent father you have girls said she when the door was shut	pp=3.382306428286487
i do not know how you will ever make him amends for his kindness or me either for that matter	pp=3.6011602727655156
at our time of life it is not so pleasant i can tell you to be making new acquaintance every day but for your sakes we would do any thing	pp=4.030062736653828
bingley will dance with you at the next ball	pp=2.567384567276363
oh said lydia stoutly i am not afraid for though i _am_ the youngest im the tallest	pp=3.3620015108214387
the rest of the evening was spent in conjecturing how soon he would return mr	pp=3.2332945532855635
bennets visit and determining when they should ask him to dinner chapter iii	pp=3.168440107674807
not all that mrs	pp=1.4092313755277863
bennet however with the assistance of her five daughters could ask on the subject was sufficient to draw from her husband any satisfactory description of mr bingley	pp=3.827325189873511
sir william had been delighted with him	pp=2.177012924568798
he was quite young wonderfully handsome extremely agreeable and to crown the whole he meant to be at the next assembly with a large party	pp=3.7589711911874373
nothing could be more delightful to be fond of dancing was a certain step towards falling in love and very lively hopes of mr	pp=3.641894090535823
if i can but see one of my daughters happily settled at netherfield said mrs	pp=3.3327254533068276
bennet to her husband and all the others equally well married i shall have nothing to wish for	pp=4.438756245180563
in a few days mr	pp=2.4904711777417057
bennets visit and sat about ten minutes with him in his library	pp=3.5911733859441504
he had entertained hopes of being admitted to a sight of the young ladies of whose beauty he had heard much but he saw only the father	pp=4.008099524621273
the ladies were somewhat more fortunate for they had the advantage of ascertaining from an upper window that he wore a blue coat and rode a black horse	pp=3.6834150908192815
bennet was quite disconcerted	pp=1.6815052347820998
she could not imagine what business he could have in town so soon after his arrival in hertfordshire and she began to fear that he might be always flying about from one place to another and never settled at netherfield as he ought to be	pp=4.4702173442201785
lady lucas quieted her fears a little by starting the idea of his being gone to london only to get a large party for the ball and a report soon followed that mr	pp=4.127924152353105
bingley was to bring twelve ladies and seven gentlemen with him to the assembly	pp=3.2938456188001886
the girls grieved over such a number of ladies but were comforted the day before the ball by hearing that instead of twelve he had brought only six with him from london his five sisters and a cousin	pp=3.7624810192813176
bingley his two sisters the husband of the eldest and another young man mr	pp=3.076178627877255
bingley was good looking and gentlemanlike he had a pleasant countenance and easy unaffected manners	pp=3.2162033476429426
his sisters were fine women with an air of decided fashion	pp=3.1683827297398754
his brotherinlaw mr	pp=1.95827739386057
hurst merely looked the gentleman but his friend mr	pp=2.44354172355184
darcy soon drew the attention of the room by his fine tall person handsome features noble mien and the report which was in general circulation within five minutes after his entrance of his having ten thousand a year	pp=3.815639950147103
bingley and he was looked at with great admiration for about half the evening till his manners gave a disgust which turned the tide of his popularity for he was discovered to be proud to be above his company and above being pleased and not all his large estate in derbyshire could then save him from having a most forbidding disagreeable countenance and being unworthy to be compared with his friend mr	pp=3.9314809394847896
bingley had soon made himself acquainted with all the principal people in the room he was lively and unreserved danced every dance was angry that the ball closed so early and talked of giving one himself at netherfield	pp=3.9354570409927616
such amiable qualities must speak for themselves	pp=2.4124177999759917
what a contrast between him and his friend mr	pp=3.292901344063928
darcy danced only once with mrs	pp=1.9735605168566142
hurst and once with miss bingley declined being introduced to any other lady and spent the rest of the evening in walking about the room speaking occasionally to one of his own party	pp=4.3317411267819015
his character was decided	pp=1.8600908353149825
he was the proudest most disagreeable man in the world and every body hoped that he would never come there again	pp=3.8139818866013036
amongst the most violent against him was mrs	pp=2.343613964586615
