avg_perplexity is:	2.5956186862220143
the project gutenberg ebook of ulysses by james joyce  this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever	pp=2.3727553448505487
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at <URL>	pp=1.7636237465173548
if you are not located in the united states you will have to check the laws of the country where you are located before using this ebook	pp=1.8034346889002775
title ulysses  author james joyce  release date december <NUM> <NUM> ebook <HASHTAG> most recently updated december <NUM> <NUM>  language english  character set encoding utf<NUM>  produced by col choat and david widger   start of the project gutenberg ebook ulysses   illustration     ulysses   by james joyce   contents   i    <NUM>   <NUM>   <NUM>    ii    <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>    iii    <NUM>   <NUM>   <NUM>       i     <NUM>   stately plump buck mulligan came from the stairhead bearing a bowl of lather on which a mirror and a razor lay crossed	pp=4.127325192384464
a yellow dressinggown ungirdled was sustained gently behind him on the mild morning air	pp=3.30533261163745
he held the bowl aloft and intoned  _introibo ad altare dei_	pp=3.1733609986907125
halted he peered down the dark winding stairs and called out coarsely  come up kinch come up you fearful jesuit  solemnly he came forward and mounted the round gunrest	pp=3.49968546267925
he faced about and blessed gravely thrice the tower the surrounding land and the awaking mountains	pp=2.9181802511194697
then catching sight of stephen dedalus he bent towards him and made rapid crosses in the air gurgling in his throat and shaking his head	pp=3.791235053924908
stephen dedalus displeased and sleepy leaned his arms on the top of the staircase and looked coldly at the shaking gurgling face that blessed him equine in its length and at the light untonsured hair grained and hued like pale oak	pp=3.679314024227893
buck mulligan peeped an instant under the mirror and then covered the bowl smartly	pp=2.8419710015745396
back to barracks he said sternly	pp=1.97217760993589
shut your eyes gents one moment	pp=2.3948630461836924
a little trouble about those white corpuscles silence all	pp=2.5049705414179293
he peered sideways up and gave a long slow whistle of call then paused awhile in rapt attention his even white teeth glistening here and there with gold points chrysostomos	pp=3.527884682854485
two strong shrill whistles answered through the calm	pp=2.3159429858983422
