avg_perplexity is:	1.6510589552417863
the project gutenberg ebook pride and prejudice by jane austen edited by r w	pp=1.5192230033340186
robert william chapman   this ebook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever	pp=1.25141368706074
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at <URL>      title pride and prejudice   author jane austen  editor r w	pp=1.4632663974560411
robert william chapman  release date may <NUM> <NUM>  ebook <HASHTAG>  language english   start of the project gutenberg ebook pride and prejudice   etext prepared by greg weeks jon hurst mary meehan and the online distributed proofreading team <URL> from page images generously made available by internet archive <URL>    note project gutenberg also has an html version of this file which includes the original illustrations	pp=1.3777766006300227
see <NUM>hhtm or <NUM>hzip <URL> or <URL>   images of the original pages are available through internet archive	pp=1.2628526963505298
see <URL>   transcribers note  text enclosed by underscores is in italics _italics_	pp=1.2225976959904437
a carat character is used to denote superscription	pp=1.241987903743716
multiple superscripted characters are enclosed by curly brackets example mrs	pp=1.1907432845459314
pride and prejudice  a novel	pp=1.316321171277182
in three volumes	pp=1.2497007881071438
egerton military library whitehall <NUM>	pp=1.0149573543299986
illustration morning dress	pp=1.2549327128577985
_invented by mrs bell <NUM> charlotte street bedford square_  _engraved for no	pp=1.1838459887995907
<NUM> of la belle assemblee <NUM>st july <NUM>_     pride  prejudice chapter i	pp=1.118995889643843
it is a truth universally acknowledged that a single man in possession of a good fortune must be in want of a wife	pp=1.9326123257208185
however little known the feelings or views of such a man may be on his first entering a neighbourhood this truth is so well fixed in the minds of the surrounding families that he is considered as the rightful property of some one or other of their daughters	pp=1.7672217982498528
bennet said his lady to him one day have you heard that netherfield park is let at last mr	pp=1.5634950375258825
bennet replied that he had not	pp=1.9574748443777443
long has just been here and she told me all about it mr	pp=1.496984137557737
bennet made no answer	pp=1.0351305542600453
do not you want to know who has taken it	pp=1.828732749132034
cried his wife impatiently	pp=1.39467341699879
_you_ want to tell me and i have no objection to hearing it	pp=2.2143234872233513
why my dear you must know mrs	pp=1.9582308662370458
long says that netherfield is taken by a young man of large fortune from the north of england that he came down on monday in a chaise and four to see the place and was so much delighted with it that he agreed with mr	pp=1.870510395789226
morris immediately that he is to take possession before michaelmas and some of his servants are to be in the house by the end of next week	pp=2.2787397646674346
what is his name bingley	pp=1.2553086408522887
is he married or single	pp=1.0964021390459615
oh single my dear to be sure a single man of large fortune four or five thousand a year	pp=1.7379567470195942
what a fine thing for our girls  how so	pp=1.3266277457958293
how can it affect them	pp=1.1668992759010473
my dear mr	pp=2.96065138462632
bennet replied his wife how can you be so tiresome you must know that i am thinking of his marrying one of them	pp=2.0906047914058155
is that his design in settling here	pp=1.2961242250845766
design nonsense how can you talk so but it is very likely that he _may_ fall in love with one of them and therefore you must visit him as soon as he comes	pp=2.3964648749535664
i see no occasion for that	pp=1.5067126816074083
you and the girls may go or you may send them by themselves which perhaps will be still better for as you are as handsome as any of them mr	pp=1.7741755496157285
bingley might like you the best of the party	pp=1.5668143696376589
my dear you flatter me	pp=1.4725533445347763
i certainly _have_ had my share of beauty but i do not pretend to be any thing extraordinary now	pp=1.8340481150049976
when a woman has five grown up daughters she ought to give over thinking of her own beauty	pp=1.7370514247522784
in such cases a woman has not often much beauty to think of	pp=1.5377840838280987
it is more than i engage for i assure you	pp=1.6898970916268916
but consider your daughters	pp=1.1241009887359117
sir william and lady lucas are determined to go merely on that account for in general you know they visit no new comers	pp=1.660745956020102
indeed you must go for it will be impossible for _us_ to visit him if you do not	pp=1.7189045894087733
i dare say mr	pp=2.266723921378181
bingley will be very glad to see you and i will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls though i must throw in a good word for my little lizzy	pp=1.9550833190644574
i desire you will do no such thing	pp=1.599939566837727
lizzy is not a bit better than the others and i am sure she is not half so handsome as jane nor half so good humoured as lydia	pp=2.0906578154241613
but you are always giving _her_ the preference	pp=1.5401387563936764
they have none of them much to recommend them replied he they are all silly and ignorant like other girls but lizzy has something more of quickness than her sisters mr	pp=1.6443691931748525
bennet how can you abuse your own children in such a way	pp=1.9240772263190422
you take delight in vexing me	pp=1.1710540824256712
i have a high respect for your nerves	pp=1.6361341239237592
they are my old friends	pp=1.1174877565660153
ah you do not know what i suffer	pp=2.387772372221204
but i hope you will get over it and live to see many young men of four thousand a year come into the neighbourhood	pp=1.8252184066558172
depend upon it my dear that when there are twenty i will visit them all mr	pp=1.839892240898059
_her_ mind was less difficult to develope	pp=1.3264067720711654
she was a woman of mean understanding little information and uncertain temper	pp=1.5826969462437352
when she was discontented she fancied herself nervous	pp=1.5090170512008856
the business of her life was to get her daughters married its solace was visiting and news chapter ii mr	pp=1.4732611822661066
bennet was among the earliest of those who waited on mr bingley	pp=1.5012822508347539
it was then disclosed in the following manner	pp=1.452570662974577
bingley will like it lizzy	pp=1.1838869618855545
but you forget mama said elizabeth that we shall meet him at the assemblies and that mrs	pp=1.6103260163127044
long has promised to introduce him	pp=1.2381473205421036
i do not believe mrs	pp=2.4443622139524184
long will do any such thing	pp=1.3344269325574336
she has two nieces of her own	pp=1.2944762325259465
she is a selfish hypocritical woman and i have no opinion of her	pp=2.1812897422306095
no more have i said mr	pp=1.2475829308968946
bennet and i am glad to find that you do not depend on her serving you mrs	pp=2.460901714112431
bennet deigned not to make any reply but unable to contain herself began scolding one of her daughters	pp=1.6871396447108158
you tear them to pieces	pp=1.2051987194765632
kitty has no discretion in her coughs said her father she times them ill	pp=1.5123595217084205
i do not cough for my own amusement replied kitty fretfully	pp=1.881791474153127
aye so it is cried her mother and mrs	pp=1.8510342867202365
long does not come back till the day before so it will be impossible for her to introduce him for she will not know him herself	pp=2.1814365786053322
then my dear you may have the advantage of your friend and introduce mr	pp=2.0262621068151265
bingley to _her_ impossible mr	pp=1.1829825359613517
bennet impossible when i am not acquainted with him myself how can you be so teazing	pp=2.135615195518905
i honour your circumspection	pp=1.0744166610427854
a fortnights acquaintance is certainly very little	pp=1.2579863610452153
one cannot know what a man really is by the end of a fortnight	pp=1.6479442543800766
but if _we_ do not venture somebody else will and after all mrs	pp=1.4482341187924144
long and her nieces must stand their chance and therefore as she will think it an act of kindness if you decline the office i will take it on myself	pp=1.562575856626948
the girls stared at their father mrs	pp=1.317076665521971
bennet said only nonsense nonsense  what can be the meaning of that emphatic exclamation cried he	pp=1.4305634499286888
do you consider the forms of introduction and the stress that is laid on them as nonsense	pp=1.40626003512905
for you are a young lady of deep reflection i know and read great books and make extracts	pp=1.7644324963012459
mary wished to say something very sensible but knew not how	pp=1.585988601650052
while mary is adjusting her ideas he continued let us return to mr bingley	pp=1.3687357752700162
i am sick of mr	pp=1.274842607402038
bingley cried his wife	pp=1.0734465291917803
i am sorry to hear _that_ but why did not you tell me so before	pp=1.8807934827576107
if i had known as much this morning i certainly would not have called on him	pp=2.0982005723802724
it is very unlucky but as i have actually paid the visit we cannot escape the acquaintance now	pp=1.8619579283899765
bennet perhaps surpassing the rest though when the first tumult of joy was over she began to declare that it was what she had expected all the while	pp=2.0985681028644123
bennet but i knew i should persuade you at last	pp=1.5343245076684158
i was sure you loved your girls too well to neglect such an acquaintance	pp=1.5385370116094694
well how pleased i am and it is such a good joke too that you should have gone this morning and never said a word about it till now	pp=2.0033390996842755
now kitty you may cough as much as you chuse said mr	pp=1.601319861735388
bennet and as he spoke he left the room fatigued with the raptures of his wife	pp=1.6753641643951487
what an excellent father you have girls said she when the door was shut	pp=1.7755392110030623
i do not know how you will ever make him amends for his kindness or me either for that matter	pp=1.8469484126268731
at our time of life it is not so pleasant i can tell you to be making new acquaintance every day but for your sakes we would do any thing	pp=1.8319639455603556
bingley will dance with you at the next ball	pp=1.6321003853388647
oh said lydia stoutly i am not afraid for though i _am_ the youngest im the tallest	pp=1.5898839493652803
the rest of the evening was spent in conjecturing how soon he would return mr	pp=1.9080478202562297
bennets visit and determining when they should ask him to dinner chapter iii	pp=1.5689540941754323
not all that mrs	pp=1.1829794728318388
bennet however with the assistance of her five daughters could ask on the subject was sufficient to draw from her husband any satisfactory description of mr bingley	pp=1.6718589649807507
sir william had been delighted with him	pp=1.265943638452845
he was quite young wonderfully handsome extremely agreeable and to crown the whole he meant to be at the next assembly with a large party	pp=1.7625523567863353
nothing could be more delightful to be fond of dancing was a certain step towards falling in love and very lively hopes of mr	pp=1.6488234379296818
if i can but see one of my daughters happily settled at netherfield said mrs	pp=1.6392763363130558
bennet to her husband and all the others equally well married i shall have nothing to wish for	pp=2.1962414530235916
in a few days mr	pp=2.054546311297888
bennets visit and sat about ten minutes with him in his library	pp=1.8625692602522828
he had entertained hopes of being admitted to a sight of the young ladies of whose beauty he had heard much but he saw only the father	pp=1.86240938978597
the ladies were somewhat more fortunate for they had the advantage of ascertaining from an upper window that he wore a blue coat and rode a black horse	pp=1.499846317152531
bennet was quite disconcerted	pp=1.3814212191133401
she could not imagine what business he could have in town so soon after his arrival in hertfordshire and she began to fear that he might be always flying about from one place to another and never settled at netherfield as he ought to be	pp=2.015787442428699
lady lucas quieted her fears a little by starting the idea of his being gone to london only to get a large party for the ball and a report soon followed that mr	pp=1.8822422780536243
bingley was to bring twelve ladies and seven gentlemen with him to the assembly	pp=1.6343416655903014
